公历日期,公历年,公历月,公历日,上中下旬,周数,星期,农历年,农历月,农历日,是否闰月,生肖,干支年,干支月,干支日,节气,是否节假日,是否工作日,节日名称
2025-01-19,2025,1,19,中旬,3,周日,2024,12,20,否,龙,甲辰,丁丑,戊子,,是,否,
2025-01-20,2025,1,20,中旬,4,周一,2024,12,21,否,龙,甲辰,丁丑,己丑,大寒,否,是,
2025-01-21,2025,1,21,下旬,4,周二,2024,12,22,否,龙,甲辰,丁丑,庚寅,,否,是,
2025-01-22,2025,1,22,下旬,4,周三,2024,12,23,否,龙,甲辰,丁丑,辛卯,,否,是,
2025-01-23,2025,1,23,下旬,4,周四,2024,12,24,否,龙,甲辰,丁丑,壬辰,,否,是,
2025-01-24,2025,1,24,下旬,4,周五,2024,12,25,否,龙,甲辰,丁丑,癸巳,,否,是,
2025-01-25,2025,1,25,下旬,4,周六,2024,12,26,否,龙,甲辰,丁丑,甲午,,是,否,
2025-01-26,2025,1,26,下旬,4,周日,2024,12,27,否,龙,甲辰,丁丑,乙未,,否,是,
2025-01-27,2025,1,27,下旬,5,周一,2024,12,28,否,龙,甲辰,丁丑,丙申,,否,是,
2025-01-28,2025,1,28,下旬,5,周二,2024,12,29,否,龙,甲辰,丁丑,丁酉,,是,否,Spring Festival
2025-01-29,2025,1,29,下旬,5,周三,2025,1,1,否,蛇,乙巳,丁丑,戊戌,,是,否,Spring Festival
2025-01-30,2025,1,30,下旬,5,周四,2025,1,2,否,蛇,乙巳,丁丑,己亥,,是,否,Spring Festival
2025-01-31,2025,1,31,下旬,5,周五,2025,1,3,否,蛇,乙巳,丁丑,庚子,,是,否,Spring Festival
2025-02-01,2025,2,1,上旬,5,周六,2025,1,4,否,蛇,乙巳,丁丑,辛丑,,是,否,Spring Festival
2025-02-02,2025,2,2,上旬,5,周日,2025,1,5,否,蛇,乙巳,丁丑,壬寅,,是,否,Spring Festival
2025-02-03,2025,2,3,上旬,6,周一,2025,1,6,否,蛇,乙巳,戊寅,癸卯,立春,是,否,Spring Festival
2025-02-04,2025,2,4,上旬,6,周二,2025,1,7,否,蛇,乙巳,戊寅,甲辰,,是,否,Spring Festival
2025-02-05,2025,2,5,上旬,6,周三,2025,1,8,否,蛇,乙巳,戊寅,乙巳,,否,是,
2025-02-06,2025,2,6,上旬,6,周四,2025,1,9,否,蛇,乙巳,戊寅,丙午,,否,是,
2025-02-07,2025,2,7,上旬,6,周五,2025,1,10,否,蛇,乙巳,戊寅,丁未,,否,是,
2025-02-08,2025,2,8,上旬,6,周六,2025,1,11,否,蛇,乙巳,戊寅,戊申,,否,是,
2025-02-09,2025,2,9,上旬,6,周日,2025,1,12,否,蛇,乙巳,戊寅,己酉,,是,否,
2025-02-10,2025,2,10,上旬,7,周一,2025,1,13,否,蛇,乙巳,戊寅,庚戌,,否,是,
2025-02-11,2025,2,11,中旬,7,周二,2025,1,14,否,蛇,乙巳,戊寅,辛亥,,否,是,
2025-02-12,2025,2,12,中旬,7,周三,2025,1,15,否,蛇,乙巳,戊寅,壬子,,否,是,
2025-02-13,2025,2,13,中旬,7,周四,2025,1,16,否,蛇,乙巳,戊寅,癸丑,,否,是,
2025-02-14,2025,2,14,中旬,7,周五,2025,1,17,否,蛇,乙巳,戊寅,甲寅,,否,是,
2025-02-15,2025,2,15,中旬,7,周六,2025,1,18,否,蛇,乙巳,戊寅,乙卯,,是,否,
2025-02-16,2025,2,16,中旬,7,周日,2025,1,19,否,蛇,乙巳,戊寅,丙辰,,是,否,
2025-02-17,2025,2,17,中旬,8,周一,2025,1,20,否,蛇,乙巳,戊寅,丁巳,,否,是,
2025-02-18,2025,2,18,中旬,8,周二,2025,1,21,否,蛇,乙巳,戊寅,戊午,雨水,否,是,
2025-02-19,2025,2,19,中旬,8,周三,2025,1,22,否,蛇,乙巳,戊寅,己未,,否,是,
2025-02-20,2025,2,20,中旬,8,周四,2025,1,23,否,蛇,乙巳,戊寅,庚申,,否,是,
2025-02-21,2025,2,21,下旬,8,周五,2025,1,24,否,蛇,乙巳,戊寅,辛酉,,否,是,
2025-02-22,2025,2,22,下旬,8,周六,2025,1,25,否,蛇,乙巳,戊寅,壬戌,,是,否,
2025-02-23,2025,2,23,下旬,8,周日,2025,1,26,否,蛇,乙巳,戊寅,癸亥,,是,否,
2025-02-24,2025,2,24,下旬,9,周一,2025,1,27,否,蛇,乙巳,戊寅,甲子,,否,是,
2025-02-25,2025,2,25,下旬,9,周二,2025,1,28,否,蛇,乙巳,戊寅,乙丑,,否,是,
2025-02-26,2025,2,26,下旬,9,周三,2025,1,29,否,蛇,乙巳,戊寅,丙寅,,否,是,
2025-02-27,2025,2,27,下旬,9,周四,2025,1,30,否,蛇,乙巳,戊寅,丁卯,,否,是,
2025-02-28,2025,2,28,下旬,9,周五,2025,2,1,否,蛇,乙巳,戊寅,戊辰,,否,是,
2025-03-01,2025,3,1,上旬,9,周六,2025,2,2,否,蛇,乙巳,戊寅,己巳,,是,否,
2025-03-02,2025,3,2,上旬,9,周日,2025,2,3,否,蛇,乙巳,戊寅,庚午,,是,否,
2025-03-03,2025,3,3,上旬,10,周一,2025,2,4,否,蛇,乙巳,戊寅,辛未,,否,是,
2025-03-04,2025,3,4,上旬,10,周二,2025,2,5,否,蛇,乙巳,戊寅,壬申,,否,是,
2025-03-05,2025,3,5,上旬,10,周三,2025,2,6,否,蛇,乙巳,己卯,癸酉,惊蛰,否,是,
2025-03-06,2025,3,6,上旬,10,周四,2025,2,7,否,蛇,乙巳,己卯,甲戌,,否,是,
2025-03-07,2025,3,7,上旬,10,周五,2025,2,8,否,蛇,乙巳,己卯,乙亥,,否,是,
2025-03-08,2025,3,8,上旬,10,周六,2025,2,9,否,蛇,乙巳,己卯,丙子,,是,否,
2025-03-09,2025,3,9,上旬,10,周日,2025,2,10,否,蛇,乙巳,己卯,丁丑,,是,否,
2025-03-10,2025,3,10,上旬,11,周一,2025,2,11,否,蛇,乙巳,己卯,戊寅,,否,是,
2025-03-11,2025,3,11,中旬,11,周二,2025,2,12,否,蛇,乙巳,己卯,己卯,,否,是,
2025-03-12,2025,3,12,中旬,11,周三,2025,2,13,否,蛇,乙巳,己卯,庚辰,,否,是,
2025-03-13,2025,3,13,中旬,11,周四,2025,2,14,否,蛇,乙巳,己卯,辛巳,,否,是,
2025-03-14,2025,3,14,中旬,11,周五,2025,2,15,否,蛇,乙巳,己卯,壬午,,否,是,
2025-03-15,2025,3,15,中旬,11,周六,2025,2,16,否,蛇,乙巳,己卯,癸未,,是,否,
2025-03-16,2025,3,16,中旬,11,周日,2025,2,17,否,蛇,乙巳,己卯,甲申,,是,否,
2025-03-17,2025,3,17,中旬,12,周一,2025,2,18,否,蛇,乙巳,己卯,乙酉,,否,是,
2025-03-18,2025,3,18,中旬,12,周二,2025,2,19,否,蛇,乙巳,己卯,丙戌,,否,是,
2025-03-19,2025,3,19,中旬,12,周三,2025,2,20,否,蛇,乙巳,己卯,丁亥,,否,是,
2025-03-20,2025,3,20,中旬,12,周四,2025,2,21,否,蛇,乙巳,己卯,戊子,春分,否,是,
2025-03-21,2025,3,21,下旬,12,周五,2025,2,22,否,蛇,乙巳,己卯,己丑,,否,是,
2025-03-22,2025,3,22,下旬,12,周六,2025,2,23,否,蛇,乙巳,己卯,庚寅,,是,否,
2025-03-23,2025,3,23,下旬,12,周日,2025,2,24,否,蛇,乙巳,己卯,辛卯,,是,否,
2025-03-24,2025,3,24,下旬,13,周一,2025,2,25,否,蛇,乙巳,己卯,壬辰,,否,是,
2025-03-25,2025,3,25,下旬,13,周二,2025,2,26,否,蛇,乙巳,己卯,癸巳,,否,是,
2025-03-26,2025,3,26,下旬,13,周三,2025,2,27,否,蛇,乙巳,己卯,甲午,,否,是,
2025-03-27,2025,3,27,下旬,13,周四,2025,2,28,否,蛇,乙巳,己卯,乙未,,否,是,
2025-03-28,2025,3,28,下旬,13,周五,2025,2,29,否,蛇,乙巳,己卯,丙申,,否,是,
2025-03-29,2025,3,29,下旬,13,周六,2025,3,1,否,蛇,乙巳,己卯,丁酉,,是,否,
2025-03-30,2025,3,30,下旬,13,周日,2025,3,2,否,蛇,乙巳,己卯,戊戌,,是,否,
2025-03-31,2025,3,31,下旬,14,周一,2025,3,3,否,蛇,乙巳,己卯,己亥,,否,是,
2025-04-01,2025,4,1,上旬,14,周二,2025,3,4,否,蛇,乙巳,己卯,庚子,,否,是,
2025-04-02,2025,4,2,上旬,14,周三,2025,3,5,否,蛇,乙巳,己卯,辛丑,,否,是,
2025-04-03,2025,4,3,上旬,14,周四,2025,3,6,否,蛇,乙巳,己卯,壬寅,,否,是,
2025-04-04,2025,4,4,上旬,14,周五,2025,3,7,否,蛇,乙巳,庚辰,癸卯,清明,是,否,Tomb-sweeping Day
2025-04-05,2025,4,5,上旬,14,周六,2025,3,8,否,蛇,乙巳,庚辰,甲辰,,是,否,Tomb-sweeping Day
2025-04-06,2025,4,6,上旬,14,周日,2025,3,9,否,蛇,乙巳,庚辰,乙巳,,是,否,Tomb-sweeping Day
2025-04-07,2025,4,7,上旬,15,周一,2025,3,10,否,蛇,乙巳,庚辰,丙午,,否,是,
2025-04-08,2025,4,8,上旬,15,周二,2025,3,11,否,蛇,乙巳,庚辰,丁未,,否,是,
2025-04-09,2025,4,9,上旬,15,周三,2025,3,12,否,蛇,乙巳,庚辰,戊申,,否,是,
2025-04-10,2025,4,10,上旬,15,周四,2025,3,13,否,蛇,乙巳,庚辰,己酉,,否,是,
2025-04-11,2025,4,11,中旬,15,周五,2025,3,14,否,蛇,乙巳,庚辰,庚戌,,否,是,
2025-04-12,2025,4,12,中旬,15,周六,2025,3,15,否,蛇,乙巳,庚辰,辛亥,,是,否,
2025-04-13,2025,4,13,中旬,15,周日,2025,3,16,否,蛇,乙巳,庚辰,壬子,,是,否,
2025-04-14,2025,4,14,中旬,16,周一,2025,3,17,否,蛇,乙巳,庚辰,癸丑,,否,是,
2025-04-15,2025,4,15,中旬,16,周二,2025,3,18,否,蛇,乙巳,庚辰,甲寅,,否,是,
2025-04-16,2025,4,16,中旬,16,周三,2025,3,19,否,蛇,乙巳,庚辰,乙卯,,否,是,
2025-04-17,2025,4,17,中旬,16,周四,2025,3,20,否,蛇,乙巳,庚辰,丙辰,,否,是,
2025-04-18,2025,4,18,中旬,16,周五,2025,3,21,否,蛇,乙巳,庚辰,丁巳,,否,是,
2025-04-19,2025,4,19,中旬,16,周六,2025,3,22,否,蛇,乙巳,庚辰,戊午,,是,否,
2025-04-20,2025,4,20,中旬,16,周日,2025,3,23,否,蛇,乙巳,庚辰,己未,谷雨,是,否,
2025-04-21,2025,4,21,下旬,17,周一,2025,3,24,否,蛇,乙巳,庚辰,庚申,,否,是,
2025-04-22,2025,4,22,下旬,17,周二,2025,3,25,否,蛇,乙巳,庚辰,辛酉,,否,是,
2025-04-23,2025,4,23,下旬,17,周三,2025,3,26,否,蛇,乙巳,庚辰,壬戌,,否,是,
2025-04-24,2025,4,24,下旬,17,周四,2025,3,27,否,蛇,乙巳,庚辰,癸亥,,否,是,
2025-04-25,2025,4,25,下旬,17,周五,2025,3,28,否,蛇,乙巳,庚辰,甲子,,否,是,
2025-04-26,2025,4,26,下旬,17,周六,2025,3,29,否,蛇,乙巳,庚辰,乙丑,,是,否,
2025-04-27,2025,4,27,下旬,17,周日,2025,3,30,否,蛇,乙巳,庚辰,丙寅,,否,是,
2025-04-28,2025,4,28,下旬,18,周一,2025,4,1,否,蛇,乙巳,庚辰,丁卯,,否,是,
2025-04-29,2025,4,29,下旬,18,周二,2025,4,2,否,蛇,乙巳,庚辰,戊辰,,否,是,
2025-04-30,2025,4,30,下旬,18,周三,2025,4,3,否,蛇,乙巳,庚辰,己巳,,否,是,
2025-05-01,2025,5,1,上旬,18,周四,2025,4,4,否,蛇,乙巳,庚辰,庚午,,是,否,Labour Day
2025-05-02,2025,5,2,上旬,18,周五,2025,4,5,否,蛇,乙巳,庚辰,辛未,,是,否,Labour Day
2025-05-03,2025,5,3,上旬,18,周六,2025,4,6,否,蛇,乙巳,庚辰,壬申,,是,否,Labour Day
2025-05-04,2025,5,4,上旬,18,周日,2025,4,7,否,蛇,乙巳,庚辰,癸酉,,是,否,Labour Day
2025-05-05,2025,5,5,上旬,19,周一,2025,4,8,否,蛇,乙巳,辛巳,甲戌,立夏,是,否,Labour Day
2025-05-06,2025,5,6,上旬,19,周二,2025,4,9,否,蛇,乙巳,辛巳,乙亥,,否,是,
2025-05-07,2025,5,7,上旬,19,周三,2025,4,10,否,蛇,乙巳,辛巳,丙子,,否,是,
2025-05-08,2025,5,8,上旬,19,周四,2025,4,11,否,蛇,乙巳,辛巳,丁丑,,否,是,
2025-05-09,2025,5,9,上旬,19,周五,2025,4,12,否,蛇,乙巳,辛巳,戊寅,,否,是,
2025-05-10,2025,5,10,上旬,19,周六,2025,4,13,否,蛇,乙巳,辛巳,己卯,,是,否,
2025-05-11,2025,5,11,中旬,19,周日,2025,4,14,否,蛇,乙巳,辛巳,庚辰,,是,否,
2025-05-12,2025,5,12,中旬,20,周一,2025,4,15,否,蛇,乙巳,辛巳,辛巳,,否,是,
2025-05-13,2025,5,13,中旬,20,周二,2025,4,16,否,蛇,乙巳,辛巳,壬午,,否,是,
2025-05-14,2025,5,14,中旬,20,周三,2025,4,17,否,蛇,乙巳,辛巳,癸未,,否,是,
2025-05-15,2025,5,15,中旬,20,周四,2025,4,18,否,蛇,乙巳,辛巳,甲申,,否,是,
2025-05-16,2025,5,16,中旬,20,周五,2025,4,19,否,蛇,乙巳,辛巳,乙酉,,否,是,
2025-05-17,2025,5,17,中旬,20,周六,2025,4,20,否,蛇,乙巳,辛巳,丙戌,,是,否,
2025-05-18,2025,5,18,中旬,20,周日,2025,4,21,否,蛇,乙巳,辛巳,丁亥,,是,否,
2025-05-19,2025,5,19,中旬,21,周一,2025,4,22,否,蛇,乙巳,辛巳,戊子,,否,是,
2025-05-20,2025,5,20,中旬,21,周二,2025,4,23,否,蛇,乙巳,辛巳,己丑,,否,是,
2025-05-21,2025,5,21,下旬,21,周三,2025,4,24,否,蛇,乙巳,辛巳,庚寅,小满,否,是,
2025-05-22,2025,5,22,下旬,21,周四,2025,4,25,否,蛇,乙巳,辛巳,辛卯,,否,是,
2025-05-23,2025,5,23,下旬,21,周五,2025,4,26,否,蛇,乙巳,辛巳,壬辰,,否,是,
2025-05-24,2025,5,24,下旬,21,周六,2025,4,27,否,蛇,乙巳,辛巳,癸巳,,是,否,
2025-05-25,2025,5,25,下旬,21,周日,2025,4,28,否,蛇,乙巳,辛巳,甲午,,是,否,
2025-05-26,2025,5,26,下旬,22,周一,2025,4,29,否,蛇,乙巳,辛巳,乙未,,否,是,
2025-05-27,2025,5,27,下旬,22,周二,2025,5,1,否,蛇,乙巳,辛巳,丙申,,否,是,
2025-05-28,2025,5,28,下旬,22,周三,2025,5,2,否,蛇,乙巳,辛巳,丁酉,,否,是,
2025-05-29,2025,5,29,下旬,22,周四,2025,5,3,否,蛇,乙巳,辛巳,戊戌,,否,是,
2025-05-30,2025,5,30,下旬,22,周五,2025,5,4,否,蛇,乙巳,辛巳,己亥,,否,是,
2025-05-31,2025,5,31,下旬,22,周六,2025,5,5,否,蛇,乙巳,辛巳,庚子,,是,否,Dragon Boat Festival
2025-06-01,2025,6,1,上旬,22,周日,2025,5,6,否,蛇,乙巳,辛巳,辛丑,,是,否,Dragon Boat Festival
2025-06-02,2025,6,2,上旬,23,周一,2025,5,7,否,蛇,乙巳,辛巳,壬寅,,是,否,Dragon Boat Festival
2025-06-03,2025,6,3,上旬,23,周二,2025,5,8,否,蛇,乙巳,辛巳,癸卯,,否,是,
2025-06-04,2025,6,4,上旬,23,周三,2025,5,9,否,蛇,乙巳,辛巳,甲辰,,否,是,
2025-06-05,2025,6,5,上旬,23,周四,2025,5,10,否,蛇,乙巳,壬午,乙巳,芒种,否,是,
2025-06-06,2025,6,6,上旬,23,周五,2025,5,11,否,蛇,乙巳,壬午,丙午,,否,是,
2025-06-07,2025,6,7,上旬,23,周六,2025,5,12,否,蛇,乙巳,壬午,丁未,,是,否,
2025-06-08,2025,6,8,上旬,23,周日,2025,5,13,否,蛇,乙巳,壬午,戊申,,是,否,
2025-06-09,2025,6,9,上旬,24,周一,2025,5,14,否,蛇,乙巳,壬午,己酉,,否,是,
2025-06-10,2025,6,10,上旬,24,周二,2025,5,15,否,蛇,乙巳,壬午,庚戌,,否,是,
2025-06-11,2025,6,11,中旬,24,周三,2025,5,16,否,蛇,乙巳,壬午,辛亥,,否,是,
2025-06-12,2025,6,12,中旬,24,周四,2025,5,17,否,蛇,乙巳,壬午,壬子,,否,是,
2025-06-13,2025,6,13,中旬,24,周五,2025,5,18,否,蛇,乙巳,壬午,癸丑,,否,是,
2025-06-14,2025,6,14,中旬,24,周六,2025,5,19,否,蛇,乙巳,壬午,甲寅,,是,否,
2025-06-15,2025,6,15,中旬,24,周日,2025,5,20,否,蛇,乙巳,壬午,乙卯,,是,否,
2025-06-16,2025,6,16,中旬,25,周一,2025,5,21,否,蛇,乙巳,壬午,丙辰,,否,是,
2025-06-17,2025,6,17,中旬,25,周二,2025,5,22,否,蛇,乙巳,壬午,丁巳,,否,是,
2025-06-18,2025,6,18,中旬,25,周三,2025,5,23,否,蛇,乙巳,壬午,戊午,,否,是,
2025-06-19,2025,6,19,中旬,25,周四,2025,5,24,否,蛇,乙巳,壬午,己未,,否,是,
2025-06-20,2025,6,20,中旬,25,周五,2025,5,25,否,蛇,乙巳,壬午,庚申,,否,是,
2025-06-21,2025,6,21,下旬,25,周六,2025,5,26,否,蛇,乙巳,壬午,辛酉,夏至,是,否,
2025-06-22,2025,6,22,下旬,25,周日,2025,5,27,否,蛇,乙巳,壬午,壬戌,,是,否,
2025-06-23,2025,6,23,下旬,26,周一,2025,5,28,否,蛇,乙巳,壬午,癸亥,,否,是,
2025-06-24,2025,6,24,下旬,26,周二,2025,5,29,否,蛇,乙巳,壬午,甲子,,否,是,
2025-06-25,2025,6,25,下旬,26,周三,2025,6,1,否,蛇,乙巳,壬午,乙丑,,否,是,
2025-06-26,2025,6,26,下旬,26,周四,2025,6,2,否,蛇,乙巳,壬午,丙寅,,否,是,
2025-06-27,2025,6,27,下旬,26,周五,2025,6,3,否,蛇,乙巳,壬午,丁卯,,否,是,
2025-06-28,2025,6,28,下旬,26,周六,2025,6,4,否,蛇,乙巳,壬午,戊辰,,是,否,
2025-06-29,2025,6,29,下旬,26,周日,2025,6,5,否,蛇,乙巳,壬午,己巳,,是,否,
2025-06-30,2025,6,30,下旬,27,周一,2025,6,6,否,蛇,乙巳,壬午,庚午,,否,是,
2025-07-01,2025,7,1,上旬,27,周二,2025,6,7,否,蛇,乙巳,壬午,辛未,,否,是,
2025-07-02,2025,7,2,上旬,27,周三,2025,6,8,否,蛇,乙巳,壬午,壬申,,否,是,
2025-07-03,2025,7,3,上旬,27,周四,2025,6,9,否,蛇,乙巳,壬午,癸酉,,否,是,
2025-07-04,2025,7,4,上旬,27,周五,2025,6,10,否,蛇,乙巳,壬午,甲戌,,否,是,
2025-07-05,2025,7,5,上旬,27,周六,2025,6,11,否,蛇,乙巳,壬午,乙亥,,是,否,
2025-07-06,2025,7,6,上旬,27,周日,2025,6,12,否,蛇,乙巳,壬午,丙子,,是,否,
2025-07-07,2025,7,7,上旬,28,周一,2025,6,13,否,蛇,乙巳,癸未,丁丑,小暑,否,是,
2025-07-08,2025,7,8,上旬,28,周二,2025,6,14,否,蛇,乙巳,癸未,戊寅,,否,是,
2025-07-09,2025,7,9,上旬,28,周三,2025,6,15,否,蛇,乙巳,癸未,己卯,,否,是,
2025-07-10,2025,7,10,上旬,28,周四,2025,6,16,否,蛇,乙巳,癸未,庚辰,,否,是,
2025-07-11,2025,7,11,中旬,28,周五,2025,6,17,否,蛇,乙巳,癸未,辛巳,,否,是,
2025-07-12,2025,7,12,中旬,28,周六,2025,6,18,否,蛇,乙巳,癸未,壬午,,是,否,
2025-07-13,2025,7,13,中旬,28,周日,2025,6,19,否,蛇,乙巳,癸未,癸未,,是,否,
2025-07-14,2025,7,14,中旬,29,周一,2025,6,20,否,蛇,乙巳,癸未,甲申,,否,是,
2025-07-15,2025,7,15,中旬,29,周二,2025,6,21,否,蛇,乙巳,癸未,乙酉,,否,是,
2025-07-16,2025,7,16,中旬,29,周三,2025,6,22,否,蛇,乙巳,癸未,丙戌,,否,是,
2025-07-17,2025,7,17,中旬,29,周四,2025,6,23,否,蛇,乙巳,癸未,丁亥,,否,是,
2025-07-18,2025,7,18,中旬,29,周五,2025,6,24,否,蛇,乙巳,癸未,戊子,,否,是,
2025-07-19,2025,7,19,中旬,29,周六,2025,6,25,否,蛇,乙巳,癸未,己丑,,是,否,
2025-07-20,2025,7,20,中旬,29,周日,2025,6,26,否,蛇,乙巳,癸未,庚寅,,是,否,
2025-07-21,2025,7,21,下旬,30,周一,2025,6,27,否,蛇,乙巳,癸未,辛卯,,否,是,
2025-07-22,2025,7,22,下旬,30,周二,2025,6,28,否,蛇,乙巳,癸未,壬辰,大暑,否,是,
2025-07-23,2025,7,23,下旬,30,周三,2025,6,29,否,蛇,乙巳,癸未,癸巳,,否,是,
2025-07-24,2025,7,24,下旬,30,周四,2025,6,30,否,蛇,乙巳,癸未,甲午,,否,是,
2025-07-25,2025,7,25,下旬,30,周五,2025,6,1,是,蛇,乙巳,癸未,乙未,,否,是,
2025-07-26,2025,7,26,下旬,30,周六,2025,6,2,是,蛇,乙巳,癸未,丙申,,是,否,
2025-07-27,2025,7,27,下旬,30,周日,2025,6,3,是,蛇,乙巳,癸未,丁酉,,是,否,
2025-07-28,2025,7,28,下旬,31,周一,2025,6,4,是,蛇,乙巳,癸未,戊戌,,否,是,
2025-07-29,2025,7,29,下旬,31,周二,2025,6,5,是,蛇,乙巳,癸未,己亥,,否,是,
2025-07-30,2025,7,30,下旬,31,周三,2025,6,6,是,蛇,乙巳,癸未,庚子,,否,是,
2025-07-31,2025,7,31,下旬,31,周四,2025,6,7,是,蛇,乙巳,癸未,辛丑,,否,是,
2025-08-01,2025,8,1,上旬,31,周五,2025,6,8,是,蛇,乙巳,癸未,壬寅,,否,是,
2025-08-02,2025,8,2,上旬,31,周六,2025,6,9,是,蛇,乙巳,癸未,癸卯,,是,否,
2025-08-03,2025,8,3,上旬,31,周日,2025,6,10,是,蛇,乙巳,癸未,甲辰,,是,否,
2025-08-04,2025,8,4,上旬,32,周一,2025,6,11,是,蛇,乙巳,癸未,乙巳,,否,是,
2025-08-05,2025,8,5,上旬,32,周二,2025,6,12,是,蛇,乙巳,癸未,丙午,,否,是,
2025-08-06,2025,8,6,上旬,32,周三,2025,6,13,是,蛇,乙巳,癸未,丁未,,否,是,
2025-08-07,2025,8,7,上旬,32,周四,2025,6,14,是,蛇,乙巳,甲申,戊申,立秋,否,是,
2025-08-08,2025,8,8,上旬,32,周五,2025,6,15,是,蛇,乙巳,甲申,己酉,,否,是,
2025-08-09,2025,8,9,上旬,32,周六,2025,6,16,是,蛇,乙巳,甲申,庚戌,,是,否,
2025-08-10,2025,8,10,上旬,32,周日,2025,6,17,是,蛇,乙巳,甲申,辛亥,,是,否,
2025-08-11,2025,8,11,中旬,33,周一,2025,6,18,是,蛇,乙巳,甲申,壬子,,否,是,
2025-08-12,2025,8,12,中旬,33,周二,2025,6,19,是,蛇,乙巳,甲申,癸丑,,否,是,
2025-08-13,2025,8,13,中旬,33,周三,2025,6,20,是,蛇,乙巳,甲申,甲寅,,否,是,
2025-08-14,2025,8,14,中旬,33,周四,2025,6,21,是,蛇,乙巳,甲申,乙卯,,否,是,
2025-08-15,2025,8,15,中旬,33,周五,2025,6,22,是,蛇,乙巳,甲申,丙辰,,否,是,
2025-08-16,2025,8,16,中旬,33,周六,2025,6,23,是,蛇,乙巳,甲申,丁巳,,是,否,
2025-08-17,2025,8,17,中旬,33,周日,2025,6,24,是,蛇,乙巳,甲申,戊午,,是,否,
2025-08-18,2025,8,18,中旬,34,周一,2025,6,25,是,蛇,乙巳,甲申,己未,,否,是,
2025-08-19,2025,8,19,中旬,34,周二,2025,6,26,是,蛇,乙巳,甲申,庚申,,否,是,
2025-08-20,2025,8,20,中旬,34,周三,2025,6,27,是,蛇,乙巳,甲申,辛酉,,否,是,
2025-08-21,2025,8,21,下旬,34,周四,2025,6,28,是,蛇,乙巳,甲申,壬戌,,否,是,
2025-08-22,2025,8,22,下旬,34,周五,2025,6,29,是,蛇,乙巳,甲申,癸亥,,否,是,
2025-08-23,2025,8,23,下旬,34,周六,2025,7,1,否,蛇,乙巳,甲申,甲子,处暑,是,否,
2025-08-24,2025,8,24,下旬,34,周日,2025,7,2,否,蛇,乙巳,甲申,乙丑,,是,否,
2025-08-25,2025,8,25,下旬,35,周一,2025,7,3,否,蛇,乙巳,甲申,丙寅,,否,是,
2025-08-26,2025,8,26,下旬,35,周二,2025,7,4,否,蛇,乙巳,甲申,丁卯,,否,是,
2025-08-27,2025,8,27,下旬,35,周三,2025,7,5,否,蛇,乙巳,甲申,戊辰,,否,是,
2025-08-28,2025,8,28,下旬,35,周四,2025,7,6,否,蛇,乙巳,甲申,己巳,,否,是,
2025-08-29,2025,8,29,下旬,35,周五,2025,7,7,否,蛇,乙巳,甲申,庚午,,否,是,
2025-08-30,2025,8,30,下旬,35,周六,2025,7,8,否,蛇,乙巳,甲申,辛未,,是,否,
2025-08-31,2025,8,31,下旬,35,周日,2025,7,9,否,蛇,乙巳,甲申,壬申,,是,否,
